form_code,status,translation_rating,missing_translation_score,labelled_fields_score,total_score
AAAV,pass,1.000,1.000,1.000,1.000
AAEA,pass,1.000,1.000,1.000,1.000
AAEI,pass,1.000,1.000,1.000,1.000
AAEV,pass,1.000,1.000,1.000,1.000
AAFK,pass,1.000,1.000,1.000,1.000
AAOC,pass,1.000,1.000,1.000,1.000
AAOE,pass,1.000,1.000,1.000,1.000
AAOV,pass,1.000,1.000,1.000,1.000
AAPD,pass,1.000,1.000,1.000,1.000
AAPR,pass,1.000,1.000,1.000,1.000
AAPT,pass,1.000,1.000,1.000,1.000
AAQB,pass,1.000,1.000,1.000,1.000
AAQD,pass,1.000,1.000,1.000,1.000
AAQJ,pass,1.000,1.000,1.000,1.000
AAQM,pass,1.000,1.000,1.000,1.000
AARI,pass,1.000,1.000,1.000,1.000
AARN,pass,1.000,1.000,1.000,1.000
AARV,pass,1.000,1.000,1.000,1.000
ABRS,pass,1.000,1.000,1.000,1.000
ADDS,pass,1.000,1.000,1.000,1.000
BAGQ,pass,1.000,1.000,1.000,1.000
BAQM,pass,1.000,1.000,1.000,1.000
AACQ,pass,1.000,1.000,0.984,0.984
AAGF,pass,0.980,1.000,1.000,0.980
AAQK,pass,1.000,1.000,0.979,0.979
AANE,pass,0.965,1.000,1.000,0.965
AAKP,pass,1.000,1.000,0.960,0.960
AAPQ,pass,1.000,1.000,0.958,0.958
AAOM,pass,1.000,1.000,0.947,0.947
AAAL,pass,0.984,0.969,0.989,0.943
AAQQ,pass,1.000,1.000,0.941,0.941
AAPM,pass,1.000,1.000,0.938,0.938
AAOI,pass,1.000,1.000,0.929,0.929
AAAU,pass,1.000,1.000,0.923,0.923
AAQG,pass,1.000,1.000,0.923,0.923
AAOF,pass,1.000,1.000,0.917,0.917
AAPS,pass,1.000,1.000,0.910,0.910
AAMB,pass,1.000,1.000,0.909,0.909
AAHO,pass,1.000,1.000,0.906,0.906
AAAI,pass,0.968,0.986,0.938,0.894
BAUL,pass,1.000,1.000,0.894,0.894
AAAB,pass,1.000,1.000,0.877,0.877
AAHA,pass,0.958,0.907,1.000,0.870
AAKI,pass,1.000,1.000,0.865,0.865
AAAA,pass,0.976,0.932,0.949,0.863
AAAQ,pass,1.000,1.000,0.853,0.853
AAGG,pass,0.987,0.850,1.000,0.840
AARM,pass,1.000,1.000,0.837,0.837
AATK,pass,1.000,1.000,0.833,0.833
AAXC,pass,1.000,1.000,0.833,0.833
AAKS,pass,0.942,0.885,0.975,0.813
BAGE,pass,0.932,0.872,1.000,0.813
AAOS,pass,1.000,1.000,0.800,0.800
AACB,pass,1.000,1.000,0.789,0.789
AAHM,pass,1.000,1.000,0.775,0.775
AAIS,pass,0.926,0.836,1.000,0.774
AACC,pass,0.968,0.884,0.880,0.753
AARB,pass,1.000,1.000,0.750,0.750
AAGS,pass,0.970,0.909,0.849,0.748
AAIR,pass,0.949,0.792,0.991,0.745
AACE,pass,0.892,0.828,1.000,0.739
AABK,pass,1.000,1.000,0.739,0.739
AAHQ,pass,1.000,1.000,0.729,0.729
BAGW,pass,0.907,0.840,0.917,0.698
AALH,pass,0.862,0.860,0.917,0.679
AACJ,pass,0.877,0.829,0.932,0.678
BAGO,pass,0.941,0.713,1.000,0.671
AADQ,pass,1.000,1.000,0.667,0.667
AALP,pass,0.979,0.990,0.667,0.646
AACW,pass,0.784,0.777,1.000,0.609
BAGU,pass,0.890,0.825,0.797,0.585
AAMK,pass,1.000,1.000,0.500,0.500
AAAM,pass,0.911,0.604,0.894,0.492
ACAV,pass,1.000,1.000,0.487,0.487
AALR,pass,0.951,0.983,0.518,0.484
AACS,pass,0.713,0.654,1.000,0.466
AALQ,pass,0.984,0.983,0.482,0.466
AAOO,pass,1.000,1.000,0.013,0.013
AAGZ,"fail: merge: Documents are too different to be translations (similarity: 32.2%, required: 50.0%)",0.000,0.000,0.000,0.000
AAOK,pass,1.000,1.000,0.000,0.000
AVERAGE,,0.965,0.946,0.876,0.820
